Name,Album,Artist,Release_date,Length,Popularity,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Valence,Loudness,Speechiness,Tempo,Time_signature
1999 WILDFIRE,1999 WILDFIRE,BROCKHAMPTON,7/07/2018,251250,64,0.253,0.811,0.57,0,0.148,0.814,-8.093,0.129,128.066,4
Hunger,Hunger,Florence + The Machine,3/05/2018,214666,49,0.53,0.729,0.675,0,0.0985,0.332,-5.62,0.0415,116.016,4
Nothing Breaks Like a Heart (feat. Miley Cyrus),Nothing Breaks Like a Heart (feat. Miley Cyrus),Mark Ronson,30/11/2018,217466,74,0.00987,0.601,0.794,1.36E-06,0.388,0.244,-5.844,0.0671,114.066,4
Clumsy Love,Clumsy Love,Thelma Plum,13/07/2018,187640,48,0.467,0.689,0.728,0,0.116,0.56,-5.528,0.0379,84.998,4
Molotov,Molotov,Kira Puru,7/06/2018,208110,41,0.0186,0.686,0.754,2.59E-05,0.085,0.507,-5.707,0.0352,91.966,4
Pussy Is God,Pussy Is God,King Princess,2/11/2018,205533,60,0.049,0.739,0.621,0.00369,0.0718,0.462,-6.929,0.238,85.969,4
Smogged Out,My Own Mess,Skegss,7/09/2018,174155,43,0.00149,0.569,0.848,0,0.267,0.836,-6.179,0.0287,127.819,4
Cheetah Tongue,Beautiful People Will Ruin Your Life,The Wombats,9/02/2018,219481,42,0.043,0.525,0.968,0.000463,0.133,0.591,-3.075,0.0553,95.006,4
Eastside (with Halsey & Khalid),FRIENDS KEEP SECRETS,benny blanco,7/12/2018,170769,72,0.549,0.632,0.686,0,0.2,0.329,-7.665,0.243,89.949,4
Tints (feat. Kendrick Lamar),Oxnard,Anderson .Paak,16/11/2018,268400,61,0.0859,0.805,0.833,0,0.0578,0.703,-6.73,0.12,109.076,4
Need You,Need You,Flight Facilities,28/02/2018,200525,2,0.224,0.759,0.739,0.0124,0.0966,0.444,-6.501,0.0337,117.982,4
Scream Whole,Scream Whole,Methyl Ethel,27/09/2018,252424,32,0.231,0.794,0.71,0.00131,0.0735,0.519,-7.24,0.0614,126.027,4
Mistake,Lost Friends,Middle Kids,4/05/2018,212613,40,0.0331,0.515,0.896,2.81E-06,0.0601,0.503,-2.825,0.0511,134.977,4
BOOGIE,BOOGIE,BROCKHAMPTON,12/12/2017,193154,34,0.0137,0.604,0.933,0,0.37,0.28,-3.034,0.214,110.029,4
Give Me My Name Back,Give Me My Name Back,Meg Mac,12/10/2018,191605,37,0.0235,0.585,0.556,2.55E-06,0.1,0.186,-6.05,0.0415,81.012,4
Martini,Hi Viz,The Presets,1/06/2018,240080,51,0.00645,0.817,0.673,0.151,0.15,0.684,-8.223,0.0819,126.042,4
Without Me,Without Me,Halsey,4/10/2018,201660,81,0.297,0.752,0.488,9.11E-06,0.0936,0.533,-7.05,0.0705,136.041,4
Wasted,Wasted,Peking Duk,2/02/2018,182370,52,0.00169,0.693,0.76,0.000977,0.121,0.751,-5.433,0.0353,115,4
Better,Suncity,Khalid,18/10/2018,229320,75,0.0765,0.596,0.552,0.334,0.104,0.112,-10.278,0.097,97.949,4
Mr La Di Da Di,Mr La Di Da Di,Baker Boy,11/04/2018,200214,40,0.126,0.806,0.734,0,0.909,0.642,-7.763,0.276,100.935,4
No Place,Solace,RÜFÜS DU SOL,19/10/2018,238920,49,0.0161,0.616,0.867,0.125,0.147,0.198,-6.232,0.0315,120.018,4
Missing Me,Missing Me,Angie McMahon,26/02/2018,199880,37,0.269,0.429,0.396,7.94E-05,0.0955,0.382,-8.41,0.057,99.155,4
When I Dream,When I Dream,San Cisco,7/09/2018,190472,48,0.0598,0.666,0.827,0,0.27,0.899,-6.618,0.0301,122.979,4
you should see me in a crown,you should see me in a crown,Billie Eilish,18/07/2018,180566,1,0.479,0.697,0.552,0.127,0.147,0.278,-10.271,0.196,75.235,4
MANTRA,MANTRA,Bring Me The Horizon,21/08/2018,233297,59,0.000477,0.502,0.817,0,0.153,0.617,-3.508,0.0447,90.024,4
God's Plan,Scorpion,Drake,29/06/2018,198973,82,0.0332,0.754,0.449,8.29E-05,0.552,0.357,-9.211,0.109,77.169,4
Laps Around The Sun,Laps Around The Sun,Ziggy Alberts,9/11/2018,206166,61,0.475,0.768,0.472,0,0.11,0.145,-10.047,0.0493,110.024,4
Nice For What,Scorpion,Drake,29/06/2018,210746,76,0.0891,0.585,0.909,9.70E-05,0.119,0.758,-6.474,0.0707,93.372,4
Love Me Now,Laps Around The Sun,Ziggy Alberts,9/11/2018,243800,56,0.328,0.739,0.378,1.11E-06,0.128,0.591,-10.25,0.033,109.003,4
All Loved Up,Love Monster,Amy Shark,13/07/2018,210000,53,0.0264,0.565,0.603,4.02E-05,0.0738,0.171,-6.33,0.177,177.996,4
Ladders,Swimming,Mac Miller,3/08/2018,287040,71,0.236,0.802,0.463,0.00531,0.105,0.291,-8.379,0.162,103.961,4
1950,1950,King Princess,23/02/2018,225133,76,0.648,0.6,0.535,4.70E-06,0.162,0.269,-7.043,0.107,71.912,4
Better Now,beerbongs & bentleys,Post Malone,27/04/2018,231266,82,0.331,0.68,0.578,0,0.135,0.341,-5.804,0.04,145.038,4
Church,Awake,Alison Wonderland,6/04/2018,183912,53,0.0251,0.551,0.681,0,0.481,0.227,-4.873,0.0401,94.052,4
Sometimes,Sometimes,Cub Sport,5/10/2018,153666,41,0.212,0.607,0.59,0,0.171,0.427,-7.518,0.0328,118.868,4
Fire,Reprisal,Peking Duk,11/05/2018,226350,58,0.0256,0.679,0.69,8.92E-06,0.07,0.648,-2.744,0.054,99.949,4
All The Stars (with SZA),Black Panther The Album Music From And Inspired By,Kendrick Lamar,9/02/2018,232186,79,0.0605,0.698,0.633,0.000194,0.0926,0.552,-4.946,0.0597,96.924,4
Sunflower - Spider-Man: Into the Spider-Verse,Spider-Man: Into the Spider-Verse (Soundtrack From & Inspired by the Motion Picture),Various Artists,14/12/2018,158040,83,0.556,0.76,0.479,0,0.0703,0.913,-5.574,0.0466,89.911,4
All The Pretty Girls,All The Pretty Girls,Vera Blue,26/10/2018,202628,52,0.415,0.708,0.591,0,0.117,0.618,-5.825,0.0348,120.976,4
I Miss You,I Love Songs,Thundamentals,21/09/2018,205255,51,0.586,0.73,0.69,0.000112,0.184,0.87,-7.019,0.103,147.89,4
Treat You Better,Solace,RÜFÜS DU SOL,19/10/2018,273666,55,0.361,0.612,0.54,5.82E-06,0.102,0.197,-5.886,0.0338,121.952,4
Underwater,Solace,RÜFÜS DU SOL,19/10/2018,349893,54,0.0181,0.604,0.82,0.0168,0.115,0.44,-6.64,0.0342,117.996,4
lovely (with Khalid),lovely (with Khalid),Billie Eilish,19/04/2018,200185,87,0.934,0.351,0.296,0,0.095,0.12,-10.109,0.0333,115.284,4
Baby Come Back,Baby Come Back (triple j Like A Version),Ocean Alley,18/05/2018,289065,57,0.11,0.492,0.544,2.60E-05,0.0934,0.373,-9.13,0.0449,148.674,4
Praise The Lord (Da Shine) (feat. Skepta),TESTING,A$AP Rocky,25/05/2018,205040,79,0.0609,0.854,0.569,0.0816,0.1,0.294,-8.151,0.106,80.015,4
Turn,Beautiful People Will Ruin Your Life,The Wombats,9/02/2018,207679,49,0.0084,0.548,0.842,0,0.0779,0.38,-3.902,0.0489,105.121,4
Up In The Clouds,My Own Mess,Skegss,7/09/2018,149623,52,0.012,0.542,0.758,0,0.274,0.489,-5.032,0.0286,104.944,4
Knees,Chiaroscuro,Ocean Alley,9/03/2018,286785,61,0.0524,0.549,0.594,2.74E-06,0.312,0.365,-9.359,0.0452,119.935,4
Dinosaurs,Dinosaurs,Ruby Fields,18/09/2018,233359,41,0.658,0.487,0.392,3.20E-05,0.0977,0.206,-7.613,0.03,153.979,4
when the party's over,when the party's over,Billie Eilish,17/10/2018,199931,13,0.979,0.498,0.104,7.86E-05,0.0895,0.205,-14.08,0.0621,124.001,3
Groceries,In The Sky,Mallrat,1/06/2018,217284,59,0.127,0.688,0.539,4.16E-05,0.116,0.207,-8.587,0.0353,115.964,4
Be Alright,Be Alright,Dean Lewis,29/06/2018,196373,80,0.697,0.553,0.586,0,0.0813,0.443,-6.319,0.0362,126.684,4
I Said Hi,Love Monster,Amy Shark,13/07/2018,170413,56,0.00469,0.393,0.855,0,0.0735,0.328,-4.329,0.122,74.304,4
SICKO MODE,ASTROWORLD,Travis Scott,3/08/2018,312820,85,0.00513,0.834,0.73,0,0.124,0.446,-3.714,0.222,155.008,4
Losing It,Losing It,FISHER,13/07/2018,248035,57,0.00182,0.76,0.964,0.7,0.0974,0.641,-5.844,0.0576,125,4
Confidence,Chiaroscuro,Ocean Alley,9/03/2018,253076,66,0.0637,0.59,0.562,0,0.105,0.561,-9.607,0.0505,140.835,4
bad guy,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",Billie Eilish,29/03/2019,194087,86,0.328,0.701,0.425,0.13,0.1,0.562,-10.965,0.375,135.128,4
Rushing Back,Rushing Back,Flume,25/09/2019,231663,69,0.357,0.574,0.612,0,0.158,0.368,-4.741,0.0781,136.046,3
Charlie,Driving Music,Mallrat,6/09/2019,190953,58,0.202,0.624,0.589,2.00E-05,0.0974,0.286,-6.799,0.0302,115.09,4
Dance Monkey,Dance Monkey,Tones And I,10/05/2019,209754,68,0.688,0.825,0.593,0.000161,0.17,0.54,-6.401,0.0988,98.078,4
Bulls On Parade - triple j Like A Version,Bulls On Parade (triple j Like A Version),Denzel Curry,15/03/2019,269686,50,0.000491,0.228,0.919,3.24E-05,0.0878,0.696,-7.953,0.317,176.192,4
Robbery,Robbery,Lime Cordiale,20/09/2019,223233,56,0.421,0.687,0.708,0.242,0.213,0.89,-8.133,0.0891,152.937,4
Heavy Hearted,Heavy Hearted,The Jungle Giants,8/07/2019,256581,63,0.00166,0.642,0.887,2.73E-05,0.0906,0.246,-4.566,0.0563,127.062,4
Better in Blak,Better in Blak,Thelma Plum,26/04/2019,192466,45,0.0186,0.673,0.849,0.000274,0.116,0.375,-5.242,0.0544,148.002,4
Exit Sign,The Great Expanse,Hilltop Hoods,22/02/2019,223386,62,0.126,0.698,0.789,0,0.0768,0.814,-5.736,0.203,99.83,4
Circles,Hollywood's Bleeding,Post Malone,6/09/2019,215280,87,0.192,0.695,0.762,0.00244,0.0863,0.553,-3.497,0.0395,120.042,4
By Myself,Almost Free,FIDLAR,25/01/2019,214640,46,0.00433,0.634,0.898,0,0.332,0.778,-4.265,0.0996,120.972,4
Inappropriate Behaviour,Inappropriate Behaviour,Lime Cordiale,17/05/2019,253066,56,0.0436,0.6,0.734,0.0148,0.0941,0.695,-7.619,0.066,93.016,4
Purple Hat,Purple Hat,Sofi Tukker,6/09/2019,178369,71,0.331,0.777,0.744,0.0073,0.088,0.654,-7.42,0.204,94.019,4
Never Seen the Rain,Never Seen the Rain,Tones And I,15/07/2019,200755,64,0.44,0.485,0.461,0,0.232,0.324,-5.646,0.0444,87.009,4
everything i wanted,everything i wanted,Billie Eilish,13/11/2019,245425,84,0.902,0.704,0.225,0.657,0.106,0.243,-14.454,0.0994,120.006,4
I Touch Myself - triple j Like A Version,I Touch Myself (triple j Like A Version),Lime Cordiale,18/10/2019,215308,58,0.0138,0.621,0.644,0,0.0703,0.724,-7.291,0.0269,112.049,4
Borderline,Borderline,Tame Impala,12/04/2019,274293,13,0.0476,0.598,0.71,1.77E-05,0.1,0.726,-6.839,0.0272,97.976,4
Glitter,FIRE ON MARZZ,BENEE,28/06/2019,180146,72,0.0863,0.801,0.589,0,0.162,0.58,-5.157,0.0485,116.934,4
Silver,Silver,DMA'S,25/10/2019,259858,44,0.00812,0.504,0.748,0,0.173,0.371,-6.032,0.0311,119.008,4
Pub Feed,Pub Feed,The Chats,22/03/2019,146000,40,0.00355,0.546,0.967,1.83E-05,0.451,0.773,-6.167,0.0437,96.898,4
Painkiller,Painkiller,Ruel,30/04/2019,213597,63,0.105,0.675,0.414,0,0.192,0.439,-6.508,0.0569,128.927,4
EARFQUAKE,IGOR,"Tyler, The Creator",17/05/2019,190066,79,0.23,0.554,0.498,5.98E-06,0.795,0.413,-8.866,0.0685,79.635,4
Infinity,Infinity,Ocean Alley,6/06/2019,233466,51,0.0617,0.557,0.747,0.00248,0.122,0.672,-4.329,0.0261,91.001,4
Find an Island,STELLA & STEVE,BENEE,15/11/2019,192613,63,0.285,0.836,0.681,0,0.0729,0.854,-3.793,0.0434,81.554,4
Johnny Run Away,Johnny Run Away,Tones And I,1/03/2019,193450,55,0.738,0.817,0.375,0.00876,0.104,0.495,-10.21,0.152,92.472,4
Vossi Bop,Vossi Bop,Stormzy,26/04/2019,196266,68,0.13,0.682,0.653,0.00116,0.129,0.428,-6.062,0.339,188.115,4
Juice,Cuz I Love You,Lizzo,19/04/2019,195144,75,0.00611,0.767,0.889,0,0.402,0.843,-2.988,0.0963,119.93,4
Piece Of Your Heart,Piece Of Your Heart,MEDUZA,1/02/2019,152913,80,0.0404,0.677,0.744,0.00016,0.074,0.631,-6.806,0.0295,124.08,4
Friends,Friends,Flume,27/03/2019,223909,60,0.288,0.628,0.668,0,0.622,0.347,-5.935,0.263,138.865,4
Save It For The Weekend,Save It For The Weekend,Skegss,2/10/2019,181608,47,0.000307,0.424,0.83,0.000717,0.36,0.544,-5.298,0.028,101.596,4
Money,Money,Lime Cordiale,1/02/2019,238180,53,0.264,0.637,0.605,0.228,0.231,0.436,-8.681,0.0325,110.077,4
San Frandisco,San Frandisco,Dom Dolla,20/09/2019,185000,53,0.0446,0.78,0.938,0.0977,0.091,0.502,-6.269,0.0491,125.031,4
Tokyo Drifting (with Denzel Curry),Tokyo Drifting,Glass Animals,13/11/2019,217693,65,0.0816,0.708,0.496,0.000109,0.102,0.412,-8.175,0.0496,128.914,4
bury a friend,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",Billie Eilish,29/03/2019,193143,78,0.74,0.905,0.389,0.162,0.106,0.196,-14.505,0.332,120.046,4
Solid Gold,Solid Gold,PNAU,2/05/2019,208367,62,0.0978,0.567,0.946,1.37E-06,0.0836,0.295,-2.245,0.0541,104.983,4
Red Light Green Light,"Red Light Green Light (For Club Play Only, Pt. 6)",Duke Dumont,22/02/2019,211208,67,0.000646,0.811,0.825,0.517,0.0689,0.95,-5.48,0.0654,124.005,4
Face To Face,Face To Face,Ruel,8/08/2019,203649,51,0.148,0.698,0.634,0,0.105,0.371,-4.341,0.064,90.008,4
Longshot,The Balance,Catfish and the Bottlemen,26/04/2019,232960,60,0.00381,0.481,0.765,0.000737,0.119,0.465,-4.025,0.0388,102.829,4
Graveyard,Graveyard,Halsey,13/09/2019,181805,8,0.231,0.667,0.583,4.48E-05,0.181,0.187,-5.127,0.0747,92.043,4
HIGHEST IN THE ROOM,HIGHEST IN THE ROOM,Travis Scott,4/10/2019,175720,86,0.0546,0.598,0.427,5.83E-06,0.21,0.0605,-8.764,0.0317,76.469,4
Robbery,Death Race For Love,Juice WRLD,8/03/2019,240050,86,0.328,0.685,0.692,0,0.153,0.578,-5.122,0.0457,159.966,5
It Might Be Time,It Might Be Time,Tame Impala,28/10/2019,273013,2,0.0212,0.586,0.786,9.35E-05,0.642,0.326,-3.768,0.0484,115.959,4
Cool As Hell,Cool As Hell,Baker Boy,25/01/2019,186253,51,0.485,0.828,0.599,7.48E-06,0.0987,0.645,-6.593,0.0681,110.969,4
RICKY,ZUU,Denzel Curry,31/05/2019,147866,68,0.0399,0.776,0.562,0,0.138,0.521,-6.901,0.363,169.03,4
7 Minutes,A Place We Knew,Dean Lewis,22/03/2019,211453,62,0.526,0.613,0.739,0,0.149,0.712,-6.478,0.0311,104.966,4
SUGAR,GINGER,BROCKHAMPTON,23/08/2019,204533,78,0.449,0.453,0.538,0,0.19,0.516,-8.212,0.0638,122.973,4
Intentions (22),Intentions (22),Ziggy Alberts,21/08/2019,186693,51,0.294,0.709,0.382,0.000139,0.106,0.769,-11.13,0.127,82.08,4
Free Time,Free Time,Ruel,13/09/2019,218826,61,0.101,0.637,0.478,0,0.103,0.201,-5.783,0.03,99.989,3
Teach Me About Dying,My Own Pool of Light,Holy Holy,2/08/2019,205287,51,0.000217,0.543,0.721,3.28E-06,0.102,0.346,-5.377,0.0329,170.078,4
Evil Spider,FIRE ON MARZZ,BENEE,28/06/2019,153213,56,0.309,0.826,0.635,0,0.139,0.538,-5.844,0.106,105.971,4
Patience,Patience,Tame Impala,22/03/2019,292267,62,0.00223,0.546,0.859,0.000947,0.0529,0.645,-5.966,0.0306,99.965,4
You Little Beauty,You Little Beauty,FISHER,9/05/2019,206587,53,0.00237,0.927,0.953,0.466,0.31,0.915,-5.524,0.0915,123.983,4
Stained Glass,Stained Glass,Ocean Alley,21/02/2019,226346,47,0.0414,0.561,0.709,0.0102,0.116,0.271,-6.215,0.0343,132.058,4
Talk,Talk,Khalid,7/02/2019,197487,72,0.0501,0.9,0.4,0,0.0876,0.338,-8.443,0.124,136.001,4
MIDDLE CHILD,MIDDLE CHILD,J. Cole,23/01/2019,213593,80,0.149,0.837,0.364,0,0.271,0.463,-11.713,0.276,123.984,4
Jellyfish,Jellyfish,Slowly Slowly,16/04/2019,196406,38,0.00887,0.706,0.687,0,0.162,0.913,-5.071,0.0331,128.033,4
Nobody's Home,Nobody's Home,Mallrat,1/02/2019,216803,50,0.663,0.623,0.643,0.000101,0.103,0.535,-5.478,0.046,111.01,4
I Missed Out,I Missed Out,Hockey Dad,15/11/2019,213447,42,0.000146,0.291,0.963,1.41E-06,0.173,0.306,-3.881,0.0726,86.187,4
Maybe You Know,My Own Pool of Light,Holy Holy,2/08/2019,237080,53,0.0202,0.49,0.81,1.14E-06,0.315,0.483,-5.043,0.0451,139.107,4
Hell N Back,Hell N Back,Bakar,15/08/2019,213573,73,0.312,0.584,0.684,9.05E-05,0.112,0.72,-4.314,0.567,210.164,4
Nightmare,Nightmare,Halsey,17/05/2019,231998,71,0.0188,0.611,0.622,0,0.359,0.538,-5.075,0.0734,146.11,4
Circles,Circles,George Alice,5/07/2019,184144,49,0.149,0.643,0.526,2.24E-06,0.432,0.163,-8.324,0.0486,104.98,4
Homecoming Queen,Better in Blak,Thelma Plum,12/07/2019,231666,61,0.689,0.469,0.425,0.000324,0.0697,0.156,-6.879,0.037,191.536,3
wish you were gay,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",Billie Eilish,29/03/2019,221543,77,0.39,0.853,0.351,9.38E-06,0.752,0.282,-10.198,0.241,118.028,4
Then What,Then What,Illy,22/05/2019,181466,53,0.00507,0.723,0.725,0,0.525,0.962,-4.498,0.104,72.473,4
Vacation Forever,Vacation Forever,Violent Soho,22/11/2019,269047,34,0.000411,0.485,0.909,9.88E-06,0.295,0.323,-2.913,0.0641,129.108,4
TALK DEEP,TALK DEEP,E^ST,11/10/2019,210371,47,0.153,0.71,0.833,0.057,0.0729,0.579,-7.536,0.057,130.013,4
Blinding Lights,Blinding Lights,The Weeknd,29/11/2019,201573,27,0.00147,0.513,0.796,0.000209,0.0938,0.345,-4.075,0.0629,171.017,4
Pasta,Salt,Angie McMahon,26/07/2019,278453,43,0.221,0.458,0.452,0,0.0851,0.395,-7.699,0.0669,140.665,4
Party Pill,Cub Sport,Cub Sport,18/01/2019,176706,42,0.6,0.634,0.449,0,0.326,0.51,-8.999,0.0386,114.939,4
Nowhere To Go,Between Us,Hayden James,14/06/2019,204826,54,0.0829,0.664,0.664,2.86E-06,0.293,0.449,-5.606,0.0623,111.866,4
Paradise,Paradise,Golden Features,11/10/2019,215253,57,0.493,0.713,0.703,0.555,0.134,0.203,-9.452,0.0501,120.01,4
Something Tells Me,HOPE,Meg Mac,7/06/2019,216522,44,0.25,0.678,0.551,0,0.378,0.38,-5.87,0.0377,96.034,4
Not Angry Anymore,Not Angry Anymore,Thelma Plum,1/02/2019,203280,44,0.357,0.65,0.685,3.71E-05,0.301,0.936,-5.961,0.0477,174.909,4
Stay Awake,A Place We Knew,Dean Lewis,22/03/2019,185400,65,0.337,0.723,0.829,3.47E-05,0.0931,0.582,-7.123,0.0453,106.023,4
Good for You,Good for You,Spacey Jane,15/08/2019,174760,44,5.54E-05,0.436,0.896,0.00995,0.165,0.933,-4.736,0.0384,174.962,4
Let You Know,Let You Know,Flume,12/06/2019,199579,62,0.0544,0.759,0.694,0,0.131,0.374,-4.075,0.0418,117.056,4
Sugar,Sugar,Peking Duk,17/01/2019,191574,53,0.00415,0.529,0.722,0.00155,0.207,0.47,-5.931,0.0418,97.006,4
Welcome To The Black Parade - triple j Like A Version,Welcome To The Black Parade (triple j Like A Version),Alex Lahey,27/09/2019,322000,40,0.00131,0.209,0.726,0,0.125,0.281,-9.71,0.0716,96.841,3
Hey You,Hey You,DOPE LEMON,8/05/2019,278386,40,0.259,0.771,0.425,0.46,0.106,0.84,-12.039,0.0277,102.613,4
Doin' Time,Norman Fucking Rockwell!,Lana Del Rey,30/08/2019,202192,73,0.372,0.649,0.538,0.00632,0.0951,0.496,-11.196,0.0519,144.979,4
Unsainted,We Are Not Your Kind,Slipknot,9/08/2019,260773,72,0.000118,0.427,0.946,0.0253,0.0604,0.237,-2.188,0.0469,101.305,4
Follow God,JESUS IS KING,Kanye West,25/10/2019,104591,72,0.000248,0.529,0.9,1.21E-05,0.0426,0.434,-3.503,0.418,180.291,4
Lose Control,Lose Control,MEDUZA,11/10/2019,168387,83,0.129,0.598,0.526,0,0.14,0.529,-8.659,0.0415,123.935,4
Final Form,Final Form,Sampa the Great,5/06/2019,216778,39,0.00876,0.69,0.889,0.00226,0.302,0.761,-6.689,0.166,96.02,4
Here Comes Your Man - triple j Like A Version,Here Comes Your Man (triple j Like A Version),Skegss,17/05/2019,219000,48,0.000624,0.392,0.875,0,0.126,0.42,-5.479,0.0683,135.779,4
all the good girls go to hell,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",Billie Eilish,29/03/2019,168839,77,0.283,0.726,0.444,0.143,0.177,0.569,-8.922,0.372,185.044,4
The Real Thing,The Real Thing,Client Liaison,1/08/2019,268508,51,0.185,0.751,0.87,0.00106,0.0202,0.769,-5.712,0.0554,116.983,4
Wow.,Hollywood's Bleeding,Post Malone,6/09/2019,149546,81,0.136,0.829,0.539,1.78E-06,0.103,0.388,-7.359,0.208,99.96,4
Protection,Starry Night over the Phone,Allday,12/07/2019,213101,45,0.215,0.814,0.531,0.000608,0.114,0.329,-8.198,0.103,119.954,4
A.O.K,MAMA,Adrian Eagle,20/09/2019,194692,43,0.199,0.773,0.632,0,0.0987,0.474,-5.917,0.127,83.961,4
Ludens,Ludens,Bring Me The Horizon,6/11/2019,280151,65,0.000551,0.295,0.679,5.44E-05,0.165,0.381,-6.182,0.15,197.964,3
Skin,Skin,San Cisco,23/10/2019,267050,43,0.103,0.599,0.526,0.0104,0.173,0.389,-7.384,0.0221,96.036,4
Meditjin,Meditjin,Baker Boy,21/11/2019,178945,41,0.0754,0.834,0.877,2.53E-05,0.132,0.511,-3.371,0.181,120.051,4
C.U.D.I (Can U Dig It),C.U.D.I (Can U Dig It),Cosmo's Midnight,1/03/2019,223981,56,0.0331,0.608,0.863,0.105,0.147,0.689,-7.33,0.0424,113.995,4
No Plans,No Plans,Dune Rats,7/06/2019,201001,36,0.00747,0.615,0.895,0,0.273,0.656,-3.912,0.0367,109.993,4
Heat Waves,Heat Waves,Glass Animals,29/06/2020,238805,81,0.44,0.761,0.525,6.70E-06,0.0921,0.531,-6.9,0.0944,80.87,4
Booster Seat,Sunlight,Spacey Jane,12/06/2020,268880,71,0.0418,0.629,0.551,1.18E-06,0.108,0.699,-5.402,0.0263,111.961,4
The Difference,The Difference,Flume,11/03/2020,139662,72,0.255,0.56,0.865,0.000153,0.083,0.424,-1.148,0.0909,159.96,4
Cherub,Cherub,Ball Park Music,27/08/2020,328973,59,0.411,0.561,0.368,0.000357,0.148,0.23,-8.776,0.033,127.989,4
Lost In Yesterday,The Slow Rush,Tame Impala,14/02/2020,249586,71,0.0295,0.569,0.84,0.000118,0.0995,0.749,-4.123,0.118,183.059,3
WAP (feat. Megan Thee Stallion),WAP (feat. Megan Thee Stallion),Cardi B,7/08/2020,187541,89,0.0194,0.935,0.454,0,0.0824,0.357,-7.509,0.375,133.073,4
Hyperfine,Hyperfine,G Flip,6/05/2020,220501,58,0.0998,0.715,0.635,2.08E-05,0.113,0.232,-6.747,0.0444,102.021,4
Sending Me Ur Loving,Sending Me Ur Loving,The Jungle Giants,17/01/2020,253940,64,0.00133,0.733,0.583,0.00441,0.0814,0.62,-7.437,0.0347,123.006,4
I'm Good?,I'm Good?,Hilltop Hoods,1/05/2020,160186,64,0.311,0.901,0.761,0,0.065,0.96,-5.986,0.0704,119.984,4
Therefore I Am,Therefore I Am,Billie Eilish,12/11/2020,174321,91,0.218,0.889,0.34,0.13,0.055,0.716,-7.773,0.0697,94.009,4
On Our Own,On Our Own,Lime Cordiale,17/04/2020,216636,58,0.00149,0.705,0.692,0.000193,0.137,0.772,-7.271,0.0303,125.933,4
Get on the Beers,Get on the Beers,Mashd N Kutcher,26/10/2020,193593,61,0.0325,0.687,0.961,0,0.356,0.686,-4.684,0.231,123.952,4
Rockstar,Rockstar,Mallrat,1/10/2020,208988,57,0.116,0.566,0.738,0.078,0.11,0.539,-4.534,0.0282,88.971,4
Tombstone,Tombstone,Ocean Alley,11/12/2019,241173,57,0.0503,0.397,0.527,0.008,0.12,0.796,-9.625,0.0263,169.015,4
Skin,Sunlight,Spacey Jane,12/06/2020,194000,59,0.0295,0.394,0.811,0.00181,0.17,0.804,-4.306,0.0291,124.209,4
Screw Loose,Screw Loose,Lime Cordiale,3/07/2020,254405,53,0.0185,0.657,0.559,0.002,0.147,0.562,-8.176,0.0452,151.871,4
Is It True,The Slow Rush,Tame Impala,14/02/2020,239266,71,0.00307,0.731,0.664,0.35,0.133,0.661,-5.474,0.0302,118.018,4
Tangerine,Dreamland,Glass Animals,7/08/2020,200583,67,0.114,0.845,0.583,0.000536,0.1,0.842,-5.948,0.0773,149.941,4
You should be sad,Manic,Halsey,17/01/2020,205473,78,0.143,0.591,0.585,0,0.109,0.324,-6.35,0.0277,110.94,4
Addicted To The Sunshine,14 Steps To A Better You,Lime Cordiale,10/07/2020,270837,51,0.0187,0.677,0.636,1.70E-06,0.321,0.889,-8.901,0.0284,126.027,4
Energy,Energy,Stace Cadet,24/04/2020,208550,65,0.000327,0.703,0.822,0.682,0.278,0.443,-5.142,0.0366,125.004,4
Complicated,Complicated,Eves Karydas,3/06/2020,197977,57,0.155,0.84,0.503,0,0.355,0.663,-6.775,0.0607,108.882,4
Good News,Good News,Mac Miller,9/01/2020,342040,64,0.853,0.794,0.32,0.134,0.112,0.241,-12.92,0.173,174.088,4
Blue World,Circles,Mac Miller,17/01/2020,209440,75,0.389,0.742,0.553,0,0.0694,0.508,-8.98,0.419,84.931,4
Reality Check Please,Reality Check Please,Lime Cordiale,29/10/2020,220597,55,0.00976,0.703,0.639,0.468,0.165,0.622,-7.341,0.0316,138.048,4
No Plans To Make Plans,14 Steps To A Better You,Lime Cordiale,10/07/2020,258423,53,0.226,0.814,0.504,0.00101,0.688,0.708,-10.216,0.119,90.03,4
Under The Thunder,Under The Thunder,Skegss,24/06/2020,215720,54,0.000574,0.518,0.837,0.00984,0.128,0.796,-3.87,0.0361,97.688,4
Straightfaced,Sunlight,Spacey Jane,12/06/2020,218960,55,0.00301,0.48,0.69,0,0.0734,0.391,-5.309,0.0287,142.908,4
Dribble,Dribble,Sycco,15/07/2020,240837,57,0.206,0.586,0.693,0,0.0971,0.518,-5.92,0.0434,94.025,4
Bagi-la-m Bargan,Bagi-la-m Bargan,Birdz,20/08/2020,252373,51,0.13,0.414,0.79,0,0.295,0.323,-4.905,0.107,100.024,4
